Label,Jenis Aset,Pegawai Penempatan,Bahagian,Lokasi Terkini
A-001,Komputer,Ahmad bin Ali,IT Department,Office A
A-002,Meja,Ahmad bin Ali,IT Department,Office A
A-003,Kerusi,Ahmad bin Ali,IT Department,Office A
A-004,Printer,Siti binti Hassan,IT Department,Lab 2
A-005,Komputer,Siti binti Hassan,IT Department,Lab 2
A-006,Telefon,Kamal bin Omar,HR Department,Office B
A-007,Meja,Kamal bin Omar,HR Department,Office B
A-008,Kabinet Fail,Nurul binti Ismail,Finance Department,Office C
A-009,Komputer,Nurul binti Ismail,Finance Department,Office C
A-010,Mesin Fotostat,Hassan bin Abdullah,Admin Department,Reception
